ngram,size,n
expense items,2,32
experience study period,3,32
expropriation capital,2,32
family held,2,32
fast pay shareholders,3,32
ffi list,2,32
filed original federal,3,32
final installment,2,32
final internal adverse benefit determination,5,32
financial requirements,2,32
finished dosage form drug,4,32
foreign corporation engaged,3,32
foreign corporation immediately,3,32
foreign corporation owned,3,32
foreign expropriation capital,3,32
foreign levy,2,32
foreign passive,2,32
form 2031,2,32
form 8918,2,32
form drug,2,32
forward triangular,2,32
fuel cell,2,32
fund account,2,32
funding standards,2,32
governmental obligations,2,32
guam american,2,32
guam american samoa,3,32
highly compensated employee percentage,4,32
horticultural commodities,2,32
hybrid deduction accounts,3,32
improvement loan,2,32
incidental benefit,2,32
include costs,2,32
include payments,2,32
including income,2,32
including original,2,32
including original issue,3,32
including original issue discount,4,32
including tax,2,32
income funds,2,32
income income,2,32
individuals estates,2,32
information relates,2,32
inherently permanent structures,3,32
initial solicitation,2,32
internal adverse benefit determination,4,32
internal revenue service pursuant,4,32
internal revenue service's,3,32
international communications income,3,32
irs ffi,2,32
irs ffi list,3,32
irs individual,2,32
irs individual taxpayer,3,32
irs individual taxpayer identification,4,32
issue qualified,2,32
job training,2,32
joint tenancy,2,32
leasehold improvement,2,32
liability reduction,2,32
lien arising,2,32
life category,2,32
limited wraparound,2,32
loan associations,2,32
loan secured,2,32
makes payment,2,32
management expenses,2,32
manner inconsistent,2,32
markup percentage,2,32
material income producing factor,4,32
method analysis,2,32
mineral oil,2,32
minimis fringe,2,32
minimum rate,2,32
minimum required contributions,3,32
modified gross income method,4,32
money purchase pension plan,4,32
month amortization period,3,32
mortality dispersion,2,32
negative basis,2,32
net capital gain capital,4,32
net capital gain capital gain,5,32
net capital gain capital gain net,6,32
net capital loss carryovers,4,32
net premium,2,32
network transactions,2,32
nonadverse party,2,32
nonbusiness capital,2,32
noncapital nondeductible expenses,3,32
nondeductible expenses,2,32
nonexempt property,2,32
obligation received,2,32
obligation secured,2,32
officers shareholders,2,32
official duties,2,32
official form,2,32
official intent,2,32
opportunity zone stock,3,32
organization taxable,2,32
outstanding amount,2,32
owned foreign corporations,3,32
owned subsidiaries,2,32
owner functional,2,32
owner functional currency,3,32
p's stock,2,32
partially worthless,2,32
partner's adjusted basis,3,32
partnership ecti,2,32
partnership owns,2,32
partnership's return,2,32
party network transactions,3,32
pay estimated,2,32
pay shareholders,2,32
payments required,2,32
peace corps,2,32
pension protection,2,32
percent distributee,2,32
percent multiplied,2,32
period pursuant,2,32
period required,2,32
period requirement,2,32
permanent records,2,32
personal living,2,32
physically located,2,32
plan formula,2,32
plan period,2,32
pooled income funds,3,32
post 2006,2,32
post modification agreement,3,32
post november,2,32
post november 1978,3,32
post termination transition period,4,32
pre 1984 account,3,32
pre 1987 foreign,3,32
pre 1987 foreign income,4,32
pre 1987 foreign income taxes,5,32
premium acquisition expenses,3,32
previously assessed,2,32
pro rata allocation,3,32
production credit,2,32
production gross,2,32
production process,2,32
profit sharing plans,3,32
properties transferred,2,32
property consisting,2,32
property improvement,2,32
property securing,2,32
purchase pension plan,3,32
qdot election,2,32
qualified disability,2,32
qualified employee discount,3,32
qualified opportunity zone stock,4,32
qualified preretirement,2,32
qualified preretirement survivor,3,32
qualifying installment obligation,3,32
quarterly federal,2,32
quotation system,2,32
rata allocation,2,32
rate established,2,32
real estate mortgage,3,32
reasons set,2,32
regular contribution,2,32
relevant property requirement,3,32
rental undertaking,2,32
required amount,2,32
required capitalization,2,32
retail motor,2,32
retail motor fuels,3,32
retail space,2,32
return multiples,2,32
revenue service pursuant,3,32
revenue service's,2,32
s's sale,2,32
s1 s2,2,32
sale pursuant,2,32
seasonal employee,2,32
selling activities,2,32
separate annual,2,32
separate limitation income,3,32
service fund,2,32
service means,2,32
shared intangible,2,32
shareholder level,2,32
sharing plans,2,32
significant participation,2,32
single property,2,32
single separate,2,32
single taxable,2,32
single tract,2,32
specifically excluded,2,32
spending period,2,32
statutory monthly limit,3,32
storage tanks,2,32
subsequent holder,2,32
substantially rehabilitated,2,32
t.d 8395,2,32
tax additional,2,32
tax information statement,3,32
tax liability incurred,3,32
taxable mortgage,2,32
taxable periods,2,32
taxable products,2,32
taxpayer assistance,2,32
term employee includes,3,32
term reportable,2,32
term transfer,2,32
termination assessment,2,32
termination transition period,3,32
time required,2,32
total insurance,2,32
transaction earnings,2,32
transfers stock,2,32
transition period property,3,32
transportation income,2,32
treatment limitations,2,32
trust election,2,32
trust makes,2,32
u.s country,2,32
u.s income tax liability,4,32
unallocated basis difference,3,32
underpayment rate,2,32
undistributed foreign,2,32
uninterrupted international,2,32
uninterrupted international air,3,32
uninterrupted international air transportation,4,32
unpaid amount,2,32
valuable accrual rate,3,32
vehicle cents,2,32
waiver amortization installments,3,32
wholly owned foreign,3,32
withholding exemption certificates,3,32
written acknowledgment,2,32
x's total,2,32
y's exempt,2,32
y's exempt activities,3,32
zone stock,2,32
0 carryover,2,31
0 taxable,2,31
1.2 1.0 0.8,3,31
1.2 1.0 0.8 0.7,4,31
1.3 1.2 1.0 0.8,4,31
1.3 1.2 1.0 0.8 0.7,5,31
1.5 1.3 1.2 1.0 0.8,5,31
1.5 1.3 1.2 1.0 0.8 0.7,6,31
1.7 1.5 1.3 1.2 1.0 0.8,6,31
1.9 1.7 1.5 1.3 1.2,5,31
1.9 1.7 1.5 1.3 1.2 1.0,6,31
10.6 10.6 10.6 10.6,4,31
1202 deduction,2,31
14.5 14.5,2,31
1545 0099,2,31
1545 0152,2,31
1545 0184,2,31
1545 1231,2,31
1968 method,2,31
1972 1973,2,31
1989 t.d,2,31
2.1 1.9 1.7 1.5 1.3 1.2,6,31
2.9 2.7 2.5 2.3 2.1 1.9,6,31
2015 taxable,2,31
2016 plan,2,31
263a costs incurred,3,31
3.1 2.9 2.7 2.5 2.3 2.1,6,31
3.5 3.3,2,31
43.5 42.5,2,31
47.3 46.4 45.4,3,31
48.5 47.5,2,31
5.0 5.0 5.0 5.0 5.0 5.0,6,31
50.2 49.3 48.3,3,31
51.2 50.2,2,31
51.2 50.2 49.3,3,31
51.2 50.2 49.3 48.3,4,31
52.2 51.2 50.2,3,31
52.2 51.2 50.2 49.3,4,31
52.2 51.2 50.2 49.3 48.3,5,31
54.9 54.9,2,31
60.1 59.1,2,31
67.9 66.9,2,31
67.9 66.9 66.0,3,31
67.9 66.9 66.0 65.0,4,31
67.9 66.9 66.0 65.0 64.0,5,31
68.9 67.9 66.9,3,31
68.9 67.9 66.9 66.0,4,31
68.9 67.9 66.9 66.0 65.0,5,31
68.9 67.9 66.9 66.0 65.0 64.0,6,31
69.7 68.8,2,31
69.9 68.9 67.9 66.9,4,31
69.9 68.9 67.9 66.9 66.0,5,31
69.9 68.9 67.9 66.9 66.0 65.0,6,31
70.9 69.9,2,31
8.4 8.4 8.4,3,31
80.6 79.7 78.7,3,31
80.6 79.7 78.7 77.7,4,31
81.6 80.6,2,31
81.6 80.6 79.7,3,31
81.6 80.6 79.7 78.7,4,31
81.6 80.6 79.7 78.7 77.7,5,31
82.4 81.6 80.6,3,31
82.4 81.6 80.6 79.7,4,31
82.4 81.6 80.6 79.7 78.7,5,31
82.4 81.6 80.6 79.7 78.7 77.7,6,31
9.4 9.4,2,31
9.5 percent,2,31
accounts maintained,2,31
actuarially equivalent straight,3,31
actuarially equivalent straight life,4,31
actuarially equivalent straight life annuity,5,31
actuary certifies,2,31
additional debt,2,31
advised fund,2,31
agent designated,2,31
agreement allocates,2,31
alternative minimum tax purposes,4,31
american opportunity,2,31
amount loaned,2,31
annual accrual,2,31
annual federal tax,3,31
applicable 1968,2,31
applicable 1968 method,3,31
applicable payments,2,31
applicable plan,2,31
apply notwithstanding,2,31
assets sold,2,31
assume primary,2,31
benefit base,2,31
benefit level,2,31
benefit structure,2,31
benefits received,2,31
beverage establishment,2,31
building owner,2,31
business immediately,2,31
capital gain account,3,31
carrier operating,2,31
cash contributions,2,31
charitable lead,2,31
civil service,2,31
closing balance,2,31
cnol deduction,2,31
collected proceeds,2,31
collectively bargained employee,3,31
commercial paper,2,31
common law employee,3,31
commuting valuation,2,31
compensation reduction,2,31
completed copy,2,31
computation periods,2,31
computing adjusted gross income,4,31
conduit borrower,2,31
considered discriminatory,2,31
constructive distribution,2,31
contracts purchased,2,31
controlling united,2,31
cooperative bank,2,31
corporate income,2,31
corporation bears,2,31
corporation cfc,2,31
corporation defined,2,31
corporation establishes,2,31
corpus portion,2,31
coupon bond,2,31
credit allowance,2,31
creditable foreign taxes,3,31
credits attributable,2,31
cubic feet,2,31
customs bonded,2,31
de minimis rules,3,31
deemed ira,2,31
deferred ffa,2,31
degree program,2,31
depreciation method recovery,3,31
depreciation method recovery period,4,31
documentation establishing,2,31
documented ffis,2,31
dollar election,2,31
dollar functional,2,31
domestic production gross,3,31
domestic production gross receipts,4,31
donor advised fund,3,31
duly authorized representative,3,31
economic arrangement,2,31
electible farm,2,31
electible farm income,3,31
employee's elective,2,31
equivalent straight,2,31
equivalent straight life,3,31
equivalent straight life annuity,4,31
exchanged basis property,3,31
exempt financing,2,31
exempt individual,2,31
exemption allocated,2,31
existing plan,2,31
expenditure means,2,31
expense allocated,2,31
experience rating arrangements,3,31
extraordinary dividends,2,31
federal certifying,2,31
federal certifying authority,3,31
federal income tax return including,5,31
federal reserve bank,3,31
filed u.s,2,31
fixed consideration,2,31
foreign capitalization,2,31
foreign person's,2,31
foreign stock,2,31
foreign tax rate,3,31
forward triangular merger,3,31
free sale,2,31
fuels outlet,2,31
functionally integrated type,3,31
gain account,2,31
gain derived,2,31
gross income includes,3,31
gross profit ratio,3,31
guarantee period,2,31
health insurance costs,3,31
health insurance policy,3,31
health reimbursement arrangement,3,31
importation properties,2,31
imported taxable products,3,31
improvement property,2,31
improvements thereon,2,31
includes property,2,31
including rules,2,31
income tax items,3,31
individual performs,2,31
individual's share,2,31
inflation indexes,2,31
inherently facilitative,2,31
insolvent financial,2,31
integrated type,2,31
intercompany trade,2,31
items required,2,31
joint tenant,2,31
law employee,2,31
life subgroup,2,31
limitations set,2,31
limited partners,2,31
limited wraparound coverage,3,31
lower tier subsidiary stock,4,31
machine play,2,31
market quotations,2,31
matching payment,2,31
means amounts,2,31
method recovery,2,31
method recovery period,3,31
minimis rules,2,31
minimum investment return,3,31
minimum price,2,31
minimum standards,2,31
minimum tax purposes,3,31
money equal,2,31
mortality dispersion table,3,31
motor fuels outlet,3,31
multiple employer plans,3,31
nav method,2,31
negative capitalization amount,3,31
net accumulated,2,31
net bad,2,31
net lease,2,31
noncash fringe benefits,3,31
nonmining processes,2,31
nonpurpose investment,2,31
occupied residences,2,31
office designated,2,31
ongoing basis,2,31
organizational test,2,31
original user,2,31
owner documented ffis,3,31
owner occupied residences,3,31
p's country,2,31
parking garage,2,31
participation service,2,31
partner nonrecourse deductions,3,31
partner stock,2,31
partnership including,2,31
partnership loan,2,31
partnership's adjusted basis,3,31
passive losses,2,31
patents copyrights,2,31
pay amounts,2,31
pay benefits,2,31
payment recipient,2,31
percent short,2,31
percent short term,3,31
person employing,2,31
person held,2,31
plan p's,2,31
plan requirements,2,31
positive capital,2,31
post 1969,2,31
post 2017,2,31
practical capacity,2,31
pre participation service,3,31
predecessor corporation,2,31
predetermined actual,2,31
prepaid rent,2,31
private purpose,2,31
pro rata partial principal payments,5,31
pro rata share determined,4,31
proceeds attributable,2,31
producing property,2,31
production gross receipts,3,31
professional service,2,31
profit ratio,2,31
proper treatment,2,31
properly included,2,31
provide written,2,31
providing benefits,2,31
prs's gross,2,31
public charities,2,31
qualified charitable,2,31
qualified direct,2,31
qualified escrow,2,31
qualified person,2,31
qualified personal residence,3,31
qualified personal service,3,31
qualified portion,2,31
qualified preretirement survivor annuity,4,31
qualified rollover,2,31
qualified veterans mortgage bond,4,31
qualified withdrawal,2,31
qualifying shareholder,2,31
qualifying u.s,2,31
qualifying u.s income,3,31
qualifying u.s income tax,4,31
railroad unemployment,2,31
rata partial principal payments,4,31
rata share determined,3,31
rate set,2,31
rating arrangements,2,31
realize exchange gain,3,31
realizes excluded,2,31
realizes excluded cod,3,31
realizes excluded cod income,4,31
reasonable certainty,2,31
rebuttable presumption,2,31
redemption period,2,31
reduce attributes,2,31
reduced maximum,2,31
reduced maximum exclusion,3,31
reduction contributions,2,31
refunded bond,2,31
relevant times,2,31
reported pursuant,2,31
required distribution,2,31
required notice,2,31
retail motor fuels outlet,4,31
risks assumed,2,31
s's attributes,2,31
salary reduction contributions,3,31
salvage recoverable,2,31
satisfactory evidence,2,31
securities dealers,2,31
security benefit,2,31
security taxes,2,31
short cut,2,31
simplified inventory,2,31
single employer plan,3,31
slot machine play,3,31
social security benefit,3,31
sold pursuant,2,31
source gross subpart,3,31
special deduction,2,31
specially allocated,2,31
specially designed,2,31
splitter arrangements,2,31
statements electronically,2,31
step transaction,2,31
stock issuance,2,31
stock stock,2,31
substantially identical stock,3,31
supplemental wage,2,31
t.d 7577,2,31
t.d 8659,2,31
tax advice,2,31
tax exception,2,31
tax exempt financing,3,31
tax free sale,3,31
tax identification,2,31
tax status,2,31
taxable bond,2,31
taxpayer’s return,2,31
tentative disqualified,2,31
terminated plan,2,31
terms letter,2,31
tier subsidiary stock,3,31
total adjusted basis,3,31
total excess,2,31
total premium,2,31
transferor corporations,2,31
treasury constant,2,31
trust's assets,2,31
trustee's commissions,2,31
u.s income tax returns,4,31
u.s liabilities,2,31
u.s shareholder's pro,3,31
u.s shareholder's pro rata,4,31
u.s shareholder's pro rata share,5,31
u.s transferor's,2,31
uniform normal,2,31
unrealized loss,2,31
uss1 consolidated,2,31
veterans mortgage bond,3,31
wages salaries,2,31
war losses,2,31
waste disposal process,3,31
water pollution,2,31
withholding allowances,2,31
